time,id,x,y
5,4,1.0,5.0
5,5,20.597022314125994,2.0597022314125994
6,4,2.0,5.0
6,5,21.194044628251987,2.119404462825199
7,4,3.0,5.0
7,5,21.79106694237798,2.1791066942377983
8,4,4.0,5.0
8,5,22.388089256503974,2.238808925650398
9,4,5.0,5.0
9,5,22.985111570629968,2.2985111570629972
10,4,6.0,5.0
10,5,23.58213388475596,2.3582133884755967
11,4,7.0,5.0
11,5,24.179156198881955,2.417915619888196
12,4,8.0,5.0
12,5,24.77617851300795,2.4776178513007956
13,4,9.0,5.0
13,5,25.373200827133942,2.537320082713395
14,4,10.0,5.0
14,5,25.970223141259936,2.5970223141259945
15,4,11.0,5.0
15,5,26.56724545538593,2.656724545538594
15,6,1.0,5.0
16,4,12.0,5.0
16,5,27.164267769511923,2.7164267769511934
16,6,2.0,5.0
17,4,13.0,5.0
17,5,27.761290083637917,2.776129008363793
17,6,3.0,5.0
18,4,14.0,5.0
18,5,28.35831239776391,2.8358312397763923
18,6,4.0,5.0
19,4,15.0,5.0
19,5,28.955334711889904,2.8955334711889917
19,6,5.0,5.0
20,4,16.0,5.0
20,5,29.552357026015898,2.955235702601591
20,6,6.0,5.0
21,4,17.0,5.0
21,5,30.14937934014189,3.0149379340141906
21,6,7.0,5.0
22,4,18.0,5.0
22,5,30.746401654267885,3.07464016542679
22,6,8.0,5.0
23,4,19.0,5.0
23,5,31.34342396839388,3.1343423968393895
23,6,9.0,5.0
24,4,20.0,5.0
24,5,31.940446282519872,3.194044628251989
24,6,10.0,5.0
25,4,21.0,5.0
25,5,32.537468596645866,3.2537468596645884
25,6,11.0,5.0
26,4,22.0,5.0
26,5,33.13449091077186,3.313449091077188
26,6,12.0,5.0
27,4,23.0,5.0
27,5,33.73151322489785,3.3731513224897873
27,6,13.0,5.0
28,4,24.0,5.0
28,5,34.32853553902385,3.432853553902387
28,6,14.0,5.0
29,4,25.0,5.0
29,5,34.92555785314984,3.4925557853149862
29,6,15.0,5.0
30,4,26.0,5.0
30,5,35.522580167275834,3.5522580167275857
30,6,16.0,5.0
31,4,27.0,5.0
31,5,36.11960248140183,3.611960248140185
31,6,17.0,5.0
32,4,28.0,5.0
32,5,36.71662479552782,3.6716624795527846
32,6,18.0,5.0
33,4,29.0,5.0
33,5,37.313647109653814,3.731364710965384
33,6,19.0,5.0
34,4,30.0,5.0
34,5,37.91066942377981,3.7910669423779835
34,6,20.0,5.0
35,4,31.0,5.0
35,5,38.5076917379058,3.850769173790583
35,6,21.0,5.0
35,7,1.0,5.0
35,8,20.597022314125994,2.0597022314125994
36,4,32.0,5.0
36,5,39.104714052031795,3.9104714052031824
36,6,22.0,5.0
36,7,2.0,5.0
36,8,21.194044628251987,2.119404462825199
37,4,33.0,5.0
37,5,39.70173636615779,3.970173636615782
37,6,23.0,5.0
37,7,3.0,5.0
37,8,21.79106694237798,2.1791066942377983
38,4,34.0,5.0
38,5,40.29875868028378,4.029875868028381
38,6,24.0,5.0
38,7,4.0,5.0
38,8,22.388089256503974,2.238808925650398
39,4,35.0,5.0
39,5,40.895780994409776,4.08957809944098
39,6,25.0,5.0
39,7,5.0,5.0
39,8,22.985111570629968,2.2985111570629972
40,4,36.0,5.0
40,5,41.49280330853577,4.149280330853579
40,6,26.0,5.0
40,7,6.0,5.0
40,8,23.58213388475596,2.3582133884755967
40,9,1.0,5.0
41,4,37.0,5.0
41,5,42.08982562266176,4.208982562266178
41,6,27.0,5.0
41,7,7.0,5.0
41,8,24.179156198881955,2.417915619888196
41,9,2.0,5.0
42,4,38.0,5.0
42,5,42.68684793678776,4.268684793678777
42,6,28.0,5.0
42,7,8.0,5.0
42,8,24.77617851300795,2.4776178513007956
42,9,3.0,5.0
43,4,39.0,5.0
43,5,43.28387025091375,4.328387025091376
43,6,29.0,5.0
43,7,9.0,5.0
43,8,25.373200827133942,2.537320082713395
43,9,4.0,5.0
44,4,40.0,5.0
44,5,43.880892565039744,4.388089256503975
44,6,30.0,5.0
44,7,10.0,5.0
44,8,25.970223141259936,2.5970223141259945
44,9,5.0,5.0
45,4,41.0,5.0
45,5,44.47791487916574,4.447791487916574
45,6,31.0,5.0
45,7,11.0,5.0
45,8,26.56724545538593,2.656724545538594
45,9,6.0,5.0
45,10,1.0,5.0
46,4,42.0,5.0
46,5,45.07493719329173,4.507493719329173
46,6,32.0,5.0
46,7,12.0,5.0
46,8,27.164267769511923,2.7164267769511934
46,9,7.0,5.0
46,10,2.0,5.0
47,4,43.0,5.0
47,5,45.671959507417725,4.567195950741772
47,6,33.0,5.0
47,7,13.0,5.0
47,8,27.761290083637917,2.776129008363793
47,9,8.0,5.0
47,10,3.0,5.0
48,4,43.0,5.0
48,5,46.26898182154372,4.626898182154371
48,6,34.0,5.0
48,7,14.0,5.0
48,8,28.35831239776391,2.8358312397763923
48,9,9.0,5.0
48,10,4.0,5.0
49,4,44.0,5.0
49,5,46.86600413566971,4.68660041356697
49,6,35.0,5.0
49,7,15.0,5.0
49,8,28.955334711889904,2.8955334711889917
49,9,10.0,5.0
49,10,5.0,5.0
50,4,44.0,5.0
50,5,47.463026449795706,4.746302644979569
50,6,36.0,5.0
50,7,16.0,5.0
50,8,29.552357026015898,2.955235702601591
50,9,11.0,5.0
50,10,6.0,5.0
51,4,45.0,5.0
51,5,48.0600487639217,4.806004876392168
51,6,37.0,5.0
51,7,17.0,5.0
51,8,30.14937934014189,3.0149379340141906
51,9,12.0,5.0
51,10,7.0,5.0
52,4,46.0,5.0
52,5,48.65707107804769,4.865707107804767
52,6,38.0,5.0
52,7,18.0,5.0
52,8,30.746401654267885,3.07464016542679
52,9,13.0,5.0
52,10,8.0,5.0
53,4,46.0,5.0
53,5,49.25409339217369,4.925409339217366
53,6,39.0,5.0
53,7,19.0,5.0
53,8,31.34342396839388,3.1343423968393895
53,9,14.0,5.0
53,10,9.0,5.0
54,4,47.0,5.0
54,5,49.85111570629968,4.985111570629965
54,6,40.0,5.0
54,7,20.0,5.0
54,8,31.940446282519872,3.194044628251989
54,9,15.0,5.0
54,10,10.0,5.0
55,4,47.0,5.0
55,5,50.448138020425674,5.0
55,6,41.0,5.0
55,7,21.0,5.0
55,8,32.537468596645866,3.2537468596645884
55,9,16.0,5.0
55,10,11.0,5.0
55,11,1.0,5.0
56,4,48.0,5.0
56,5,51.44743999016323,5.0
56,6,42.0,5.0
56,7,22.0,5.0
56,8,33.13449091077186,3.313449091077188
56,9,17.0,5.0
56,10,12.0,5.0
56,11,2.0,5.0
57,4,49.0,5.0
57,5,52.44726546736852,5.0
57,6,43.0,5.0
57,7,23.0,5.0
57,8,33.73151322489785,3.3731513224897873
57,9,18.0,5.0
57,10,13.0,5.0
57,11,3.0,5.0
58,4,50.0,5.0
58,5,53.447221835717976,5.0
58,6,44.0,5.0
58,7,24.0,5.0
58,8,34.32853553902385,3.432853553902387
58,9,19.0,5.0
58,10,14.0,5.0
58,11,4.0,5.0
59,4,51.0,5.0
59,5,54.44721092774585,5.0
59,6,45.0,5.0
59,7,25.0,5.0
59,8,34.92555785314984,3.4925557853149862
59,9,20.0,5.0
59,10,15.0,5.0
59,11,5.0,5.0
60,4,52.0,5.0
60,5,55.4472082007491,5.0
60,6,46.0,5.0
60,7,26.0,5.0
60,8,35.522580167275834,3.5522580167275857
60,9,21.0,5.0
60,10,16.0,5.0
60,11,6.0,5.0
61,4,53.0,5.0
61,5,56.44720751899968,5.0
61,6,47.0,5.0
61,7,27.0,5.0
61,8,36.11960248140183,3.611960248140185
61,9,22.0,5.0
61,10,17.0,5.0
61,11,7.0,5.0
62,4,54.0,5.0
62,5,57.447207348562316,5.0
62,6,48.0,5.0
62,7,28.0,5.0
62,8,36.71662479552782,3.6716624795527846
62,9,23.0,5.0
62,10,18.0,5.0
62,11,8.0,5.0
63,4,55.0,5.0
63,5,58.44720730595297,5.0
